latitude,longitude,application_permit_number,blockgroup
47.60655436,-122.30364081,6266810,131271.0
47.64080852,-122.39391969,6262071,10922.0
47.70193284,-122.36977794,6266789,185881.0
47.60630564,-122.30361081,6266174,131271.0
47.67791482,-122.36526316,6262687,194098.0
47.61123274,-122.34447687,6266778,123311.0
47.60740726,-122.33778279,6266753,114114.0
47.61310325,-122.30798138,6264902,129001.0
47.66590858,-122.2962011,6062326,123283.0
47.55014509,-122.27745673,6261314,128998.0
47.67327394,-122.30142225,6266669,53274.0
47.67215941,-122.36485957,6265899,120288.0
47.62508924,-122.28514509,6266668,127709.0
47.62498023,-122.35966766,6266657,54145.0
47.62816504,-122.29063367,6266639,180767.0
47.62477038,-122.35522401,6264405,79467.0
47.599633,-122.32797143,6266607,46593.0
47.6093343,-122.30474839,6266310,131271.0
47.61089077,-122.32933488,6266584,72390.0
47.61089077,-122.32933488,6266587,72390.0
47.61089077,-122.32933488,6266586,72390.0
47.72846671,-122.33230126,6266555,158079.0
47.63560283,-122.3266618,6246411,82134.0
47.52254474,-122.36628417,6263247,9516.0
47.69808779,-122.39066225,6266546,208154.0
47.68112572,-122.39778428,6261417,117381.0
47.58717795,-122.28609264,6255642,121837.0
47.60146946,-122.3324974,6263684,46594.0
47.52469436,-122.33253749,6262139,59148.0
47.67658966,-122.34691,6262677,120289.0
47.57004497,-122.38845663,6264439,114651.0
47.51128495,-122.24143097,6266440,186500.0
47.68679939,-122.3124724,6264100,214725.0
47.69147693,-122.3495093,6264522,210959.0
47.64346046,-122.41140255,6266415,53970.0
47.70088684,-122.34383304,6262794,77235.0
47.69982201,-122.34707134,6261970,77235.0
47.66845738,-122.38336025,6266142,123281.0
47.58803116,-122.30045999,6266356,180768.0
47.62733724,-122.36451332,6266289,39296.0
47.55597847,-122.32902782,6266273,47168.0
47.6501888,-122.37788489,6266266,10926.0
47.55493244,-122.39398379,6265572,181598.0
47.64642453,-122.34895191,6264545,4503.0
47.67752168,-122.37170496,6260862,76045.0
47.6279725,-122.36137546,6266223,128122.0
47.60740726,-122.33778279,6263484,114114.0
47.61275016,-122.33686713,6263768,72388.0
47.67209548,-122.3247566,6255033,55380.0
47.63348248,-122.27627907,6266149,87971.0
47.56708035,-122.4084234,6264566,97819.0
47.52335374,-122.36213636,6266136,9516.0
47.70050896,-122.30900729,6266135,163053.0
47.62186895,-122.31251208,6264182,80093.0
47.73172386,-122.29277653,6262781,158055.0
47.70464341,-122.37827884,6266109,185882.0
47.65070548,-122.41098743,6266102,81602.0
47.67305271,-122.36534125,6265969,120292.0
47.67476515,-122.26849525,6265935,121804.0
47.66231885,-122.28147251,6266055,215641.0
47.68565512,-122.27448919,6263251,214721.0
47.68565512,-122.27448919,6266084,214721.0
47.66175927,-122.39856733,6266082,10924.0
47.67138959,-122.35714498,6265995,120291.0
47.66739894,-122.31113168,6262027,122826.0
47.65551032,-122.37876325,6266029,10926.0
47.62495071,-122.3206255,6263104,82132.0
47.57896087,-122.38300138,6262800,117113.0
47.59493876,-122.32677408,6265999,47167.0
47.58193891,-122.39425715,6265990,86415.0
47.68456699,-122.34215451,6265983,116670.0
47.62959085,-122.28319006,6251394,87971.0
47.65519004,-122.39536782,6261250,10925.0
47.53621396,-122.35321888,6265788,52892.0
47.73316034,-122.31051494,6264995,131269.0
47.68415266,-122.32532603,6265134,116668.0
47.56849862,-122.35927332,6265920,44138.0
47.69849937,-122.39592821,6265923,53273.0
47.70211085,-122.37645815,6265907,185882.0
47.70239712,-122.27498022,6261385,162470.0
47.58153811,-122.32085446,6265480,47168.0
47.61330746,-122.30546447,6263759,129001.0
47.6586219,-122.36267396,6265605,55382.0
47.54660347,-122.28529311,6265872,77237.0
47.57796347,-122.38831199,6264225,117113.0
47.68638047,-122.38354922,6265820,117370.0
47.60740726,-122.33778279,6265806,114114.0
47.67855056,-122.3560989,6252863,120289.0
47.65918365,-122.31084094,6258538,20478.0
47.61528853,-122.34241817,6265262,79464.0
47.59865997,-122.32855763,6265767,47167.0
47.67015044,-122.28938665,6265760,156804.0
47.67671358,-122.34845215,6264698,120289.0
47.64226316,-122.39927707,6264179,10922.0
47.51886893,-122.25878579,6265717,162151.0
47.6177921,-122.34525345,6263107,189282.0
47.55442002,-122.27823533,6099789,107668.0
47.55694998,-122.31371126,6249862,132934.0
47.57587354,-122.32790617,6265658,47168.0
47.5573934,-122.39396112,6265443,181598.0
47.63280062,-122.3701058,6184301,82778.0
47.60932305,-122.33389853,6260690,72388.0
47.67931686,-122.39162537,6265625,76039.0
47.60549679,-122.33320892,6265630,125327.0
47.52900939,-122.35198251,6265616,9515.0
47.63853888,-122.301214,6263490,87261.0
47.60896041,-122.34053781,6265234,53976.0
47.66517119,-122.30187162,6264214,95968.0
47.61792133,-122.30501143,6265173,190552.0
47.61578904,-122.33727143,6263302,79469.0
47.61578904,-122.33727143,6264212,79469.0
